ParentCommit	ChildCommit	Comment
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	15101d4d0a33e0a462bb7a6bc1ca20274f49e620	minor source code refactoring 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	3c8582f91fe002c28d2a736569f60975e92065af	minor refactoring of source code 
560bb93aa4809b1ccea9f3985c05ecf824a6b9d2	9c48769446fecb261848c1cdeaf4bf45c16ee034	minor source code refactoring 
3c4fd2e8f8a0ce62732c4abaa8dd9f025b66714c	3c4fd2e8f8a0ce62732c4abaa8dd9f025b66714c	further changes on the new design 
3c4fd2e8f8a0ce62732c4abaa8dd9f025b66714c	52dbb177a8d53f84532ff9e883bf97518522bae2	further changes on the new theme design 
3c4fd2e8f8a0ce62732c4abaa8dd9f025b66714c	0c4a3ff4a9ce50c0eb83dc8dc63ea72fc678e090	further changes on the new design 
3c4fd2e8f8a0ce62732c4abaa8dd9f025b66714c	eea3e39440dc76d6eb7c161e9e25d1d89b35f4f2	further changes on the new design 
3c4fd2e8f8a0ce62732c4abaa8dd9f025b66714c	13c5e9d3cf88288bb3868e15f43ed167b6c71e7c	further changes on the new design  
5956b05ac632a180e61c865239c34cc0f1fbd90e	5956b05ac632a180e61c865239c34cc0f1fbd90e	updated fluentvalidation third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	1bf39398e1fb85ac7d3e3636d8a2de5bea7c99e4	updated maxmind third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	46333836dc73ec75abe554a270c198a863559fac	updated itextsharp third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	16b58bf8852a24665f241f06365970ebb34e2b1b	updated itextsharp third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	28c3114d8b9d6ce0f26416099e78a8f0c726620b	updated epplus third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	b93ccdebf21650173920938f9dac39e922f74727	updated automapper third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	8585153b6c17fbe78af415e9b61617d1530ea722	updated epplus third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	dd3f45f13c8d867b46573569baf915fca9db0451	updated  newtonsoft json  third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	a6c983664d63a128fd7c60b9bc7a1056edfb4858	updated paypalmerchantsdk third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	c7e787beeb357c63866f5f1a4d92c552f90d032c	updated newtonsoft json third party library to the latest version 
5956b05ac632a180e61c865239c34cc0f1fbd90e	b4d82d6b70080a037ac6a8ebab48fae0513a923a	updated automapper third party library to the latest version  
5956b05ac632a180e61c865239c34cc0f1fbd90e	c98f063a3c2af71225f7a27d9f47957e855379c7	updated eppplus third party library to the latest version 
